id,name
2,Goldberg
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
CME,True,0.765,0.0,True,0.735,ES,future
CME,True,0.765,0.0,True,0.735,GE,future
CME,True,0.765,0.0,True,0.735,GF,future
CME,True,0.765,0.0,True,0.735,GFBF,future
CME,True,0.765,0.0,True,0.735,IBV,future
CME,True,0.765,0.0,True,0.735,LBS,future
CME,True,0.765,0.0,True,0.735,LE,future
CME,True,0.765,0.0,True,0.735,LH,future
CME,True,0.765,0.0,True,0.735,MNF,future
CME,True,0.765,0.0,True,0.735,NK,future
CME,True,0.765,0.0,True,0.735,NQ,future
CME,True,0.765,0.0,True,0.735,RMB,future
CME,True,0.765,0.0,True,0.735,RP,future
CME,True,0.765,0.0,True,0.735,RY,future
CME,True,0.765,0.0,True,0.735,SIR,future
CME,True,0.765,0.0,True,0.735,SP,future
CME,True,0.765,0.0,True,0.735,TRY,future
COMEX,False,0.765,0.0,True,0.735,,future
COMEX,True,0.765,0.0,True,0.735,GC,future
COMEX,True,0.765,0.0,True,0.735,GCK,future
COMEX,True,0.765,0.0,True,0.735,HG,future
COMEX,True,0.765,0.0,True,0.735,MGC,future
COMEX,True,0.765,0.0,True,0.735,SI,future
DGCX,False,1.335,0.0,True,0.665,,future
DGCX,True,1.335,0.0,True,0.665,DEUR,future
DGCX,True,1.335,0.0,True,0.665,DG,future
DGCX,True,1.335,0.0,True,0.665,DINR,future
EUREX,False,0.835,0.0,True,0.665,,future
EUREX,True,0.835,0.0,True,0.665,CONF,future
EUREX,True,0.835,0.0,True,0.665,FBON,future
EUREX,True,0.835,0.0,True,0.665,FBTM,future
EUREX,True,0.835,0.0,True,0.665,FBTP,future
EUREX,True,0.835,0.0,True,0.665,FBTS,future
EUREX,True,0.835,0.0,True,0.665,FCPE,future
EUREX,True,0.835,0.0,True,0.665,FDAX,future
EUREX,True,0.835,0.0,True,0.665,FDXM,future
EUREX,True,0.835,0.0,True,0.665,FESU,future
